FighterID,Fighter Name,ShortID1,ShortID2,HeightInches,Weight,Date of Birth,Team
8482964,Arber Xhekaj,221,224,76,238,2001-01-30,1
8479576,Vincent Desharnais,147,149,78,215,1996-05-29,4
8478434,Keegan Kolesar,120,119,74,227,1997-04-08,5
8477969,Marcus Pettersson,103,#N/A,75,177,1996-05-08,6
8476372,Nick Seeler,41,40,74,198,1993-06-03,7
8475220,Marcus Foligno,21,23,75,228,1991-08-10,9
8475842,Sam Carrick,38,37,72,204,1992-02-04,10
8480011,Klim Kostin,158,161,75,212,1999-05-05,11
8479520,Brandon Duhaime,145,146,74,200,1997-05-22,9
8475766,Austin Watson,33,31,76,204,1992-01-13,12
8473994,Jamie Benn,5,10,74,205,1989-07-18,14
8476880,Tom Wilson,61,64,76,218,1994-03-29,15
8477527,Ross Johnston,95,89,77,235,1994-02-18,10
8479316,Luke Kunin,136,132,72,195,1997-12-04,20
8479365,Trent Frederic,139,136,74,203,1998-02-11,22
8477949,Alex Tuch,100,#N/A,76,222,1996-05-10,23
8481716,Dmitri Voronkov,201,#N/A,77,240,2000-09-10,24
8474034,Patrick Maroon,7,12,75,225,1988-04-23,9
8480355,Mark Kastelic,166,168,75,210,1999-03-11,25
8474145,Robert Bortuzzo,9,#N/A,76,216,1989-03-18,26
8479980,Nicolas Hague,154,157,78,215,1998-12-05,5
8473422,Nick Foligno,3,7,72,202,1987-10-31,2
8475797,Jarred Tinordi,37,35,78,230,1992-02-20,2
8477903,Garnet Hathaway,98,91,74,210,1991-11-23,7
8478975,Mason Marchment,132,#N/A,77,212,1995-06-18,14
8479661,Tanner Jeannot,149,152,74,208,1997-05-29,12
8475235,Nicolas Deslauriers,23,24,73,221,1991-02-22,7
8478468,Jeremy Lauzon,124,124,73,204,1997-04-28,29
8482062,Cole Smith,202,210,75,195,1995-10-28,29
8474013,Ian Cole,6,11,73,219,1989-02-21,16
8479379,Givani Smith,141,140,74,210,1998-02-27,20
8475462,Radko Gudas,27,29,72,204,1990-06-05,10
8479591,Michael Eyssimont,148,#N/A,72,180,1996-09-09,12
8478136,Jake Middleton,112,108,75,210,1996-01-02,9
8477070,Liam O'Brien,72,72,73,215,1994-07-29,28
8479671,Mathieu Olivier,150,153,74,210,1997-02-11,24
8477971,Andreas Englund,104,100,75,189,1996-01-21,13
8478413,Jordan Greenway,116,114,78,227,1997-02-16,23
8477507,Nikita Zadorov,92,88,77,230,1995-04-16,18
8478502,Dennis Gilbert,127,125,74,216,1996-10-30,18
8477335,Kyle Burroughs,75,76,72,193,1995-07-12,20
8476624,Barclay Goodrow,55,54,74,215,1993-02-26,21
8482157,Will Cuylle,211,216,75,211,2002-02-05,21
8477935,Sam Bennett,99,#N/A,73,195,1996-06-20,8
8475314,Anders Lee,25,#N/A,75,231,1990-07-03,19
8481206,John Ludvig,190,195,73,213,2000-08-02,6
8479981,Jonah Gadjovich,155,158,74,209,1998-10-12,8
8476312,Josh Manson,40,39,75,216,1991-10-07,3
8477365,Connor Clifton,77,78,71,175,1995-04-28,23
8480748,Kiefer Sherwood,168,170,72,194,1995-03-31,29
8475170,Brayden Schenn,17,22,73,200,1991-08-22,26
8476393,Nick Cousins,44,42,71,185,1993-07-20,8
8476460,Mark Scheifele,49,48,75,207,1993-03-15,27
8480801,Brady Tkachuk,171,173,75,196,1999-09-16,25
8476885,Jacob Trouba,62,65,75,202,1994-02-26,21
8481006,Tyler Tucker,184,186,73,204,2000-03-01,26
8480980,Connor Dewar,182,#N/A,70,183,1999-06-26,9
8478421,A.J. Greer,119,116,75,210,1996-12-14,18
8480880,Jakub Lauko,179,182,72,196,2000-03-28,22
8473446,Erik Johnson,4,8,76,225,1988-03-21,23
8481122,Simon Benoit,186,191,75,191,1998-09-19,31
8477446,Michael McCarron,81,85,78,230,1995-07-04,29
8476392,Adam Lowry,43,41,77,210,1993-03-29,27
8474709,Matt Martin,14,20,75,220,1989-05-08,19
8481568,Alex Vlasic,198,#N/A,77,217,2001-06-05,2
8476468,J.T. Miller,51,50,73,218,1993-03-14,16
8477384,Joshua Brown,78,79,77,215,1994-01-21,28
8479543,Michael Pezzetta,146,148,73,216,1998-03-13,1
8475455,Brenden Dillon,26,28,76,225,1990-11-13,27
8476981,Josh Anderson,71,70,75,221,1994-05-07,1
8476931,Jake McCabe,68,69,73,206,1993-10-12,31
8480855,Jack McBain,176,180,75,201,2000-01-06,28
8478840,Will Borgen,130,127,75,196,1996-12-19,32
8478057,Dakota Joshua,111,107,74,199,1996-05-15,16
8482460,Matt Rempe,214,217,81,255,2002-06-29,21
8478450,Parker Wotherspoon,122,121,73,190,1997-08-24,22
8480891,Michael Kesselring,181,183,76,190,2000-01-13,28
8481167,Brayden Pachal,188,194,73,204,1999-08-23,18
8477073,Kurtis MacDermid,73,73,77,233,1994-03-25,30
8471817,Ryan Reaves,2,5,73,225,1987-01-20,31
8477962,Brendan Lemieux,101,99,73,210,1996-03-15,17
8475722,Jason Zucker,29,#N/A,71,183,1992-01-16,29
8470621,Corey Perry,1,1,75,206,1985-05-16,4
8477498,Darnell Nurse,89,86,76,221,1995-02-04,4
8475790,Erik Gudbranson,35,33,77,217,1992-01-07,24
8480848,Ty Dellandrea,175,178,73,190,2000-07-21,14
8474568,Luke Schenn,11,15,74,221,1989-11-02,29
8480860,Kevin Bahl,177,181,78,230,2000-06-27,30
8479772,Zack MacEwen,151,155,75,205,1996-07-08,25
8479378,Logan Stanley,140,139,79,228,1998-05-26,27
8480797,Joel Farabee,170,172,72,164,2000-02-25,7
8476878,Zemgus Girgensons,60,63,74,211,1994-01-05,12
8475795,Dylan McIlrath,36,34,77,236,1992-04-20,15
8479414,Nathan Bastian,144,142,76,205,1997-12-06,30
8478474,Lawson Crouse,126,#N/A,76,220,1997-06-23,28
8474090,Brendan Smith,8,13,74,195,1989-02-08,14
8480192,Johnathan Kovacevic,163,165,76,208,1997-07-12,30
8481028,Martin Pospisil,185,#N/A,74,173,1999-11-19,18
8479066,Ryan Lomberg,133,130,69,187,1994-12-09,18
8476458,Ryan Strome,48,47,73,194,1993-07-11,10
8482929,Emil Lilleberg,220,223,75,208,2001-02-02,12
8478416,Erik Cernak,118,115,76,225,1997-05-28,12
8482742,Zachary L'Heureux,218,#N/A,71,197,2003-05-15,29
8481528,Dylan Cozens,#N/A,199,75,188,2001-02-09,23
8477503,Max Domi,#N/A,87,70,193,1995-03-02,31
8476473,Connor Murphy,#N/A,51,76,212,1993-03-26,2
8479293,Brandon Tanev,#N/A,131,72,180,1991-12-31,32
8480835,Jack Drury,#N/A,176,71,174,2000-02-03,17
8481147,Reese Johnson,#N/A,192,73,193,1998-07-10,2
8476856,Mathew Dumba,#N/A,57,72,182,1994-07-25,28
8478432,Christian Fischer,#N/A,118,74,214,1997-04-15,11
8480025,MacKenzie Entwistle,#N/A,162,75,184,1999-07-14,2
8481522,Peyton Krebs,#N/A,198,71,180,2001-01-26,23
8482087,Kaiden Guhle,#N/A,213,74,205,2002-01-18,1
8477573,Nathan Walker,#N/A,90,69,186,1994-02-07,26